specimen,hook,length,base
C005C,1,67.7,17.1
C005C,2,68.2,18.2
C005C,3,70,20.4
C005C,4,68.2,21.5
C005C,5,71,22
C005C,6,66.5,20.6
C005C,7,66.7,23
C005C,8,65,23.8
C005C,9,61.6,24.4
C005C,10,59.7,26
C005C,11,50.8,24.5
C005C,12,51.8,15.1
C005C,13,43.7,11.3
C005C,14,47.7,9.4
C009bD,1,63.8,15.2
C009bD,2,69.8,19.2
C009bD,3,71.7,18.2
C009bD,4,69.2,22.8
C009bD,5,72.6,25.9
C009bD,6,69.8,24.9
C009bD,7,68.1,28.3
C009bD,8,66.8,32.1
C009bD,9,63.4,29.9
C009bD,10,64.9,19.6
C009bD,11,58.6,20.6
C009bD,12,49.1,9.4
C009aA,1,52.1,16.9
C009aA,2,61.6,18.7
C009aA,3,65.9,21
C009aA,4,63.8,22.4
C009aA,5,65.3,24.1
C009aA,6,67,26.4
C009aA,7,62.3,24.9
C009aA,8,60.2,24.9
C009aA,9,59.9,24.2
C009aA,10,51.8,15.6
C009aA,11,43.7,11.4
C009cC,1,59.6,18
C009cC,2,66.1,22.6
C009cC,3,64,23.3
C009cC,4,60.1,23.3
C009cC,5,58.2,23.6
C009cC,6,57.3,24.9
C009cC,7,53.5,27.1
C009cC,8,53.7,24.7
C009cC,9,48,18.2
C009cC,10,40.9,12
