specimen,hook,length,base
C015E,1,33.9,9.8
C015E,2,41.3,13.9
C015E,3,45.1,14.9
C015E,4,48.4,16.1
C015E,5,49.1,17.1
C015E,6,47.6,17.7
C015E,7,45.4,17.6
C015E,8,44.4,17.2
C015E,9,43.2,17.6
C015E,10,39.5,16.2
C015E,11,40.3,16
C015E,12,40.5,16.5
C015E,13,39,15.6
C015E,14,34.2,9.1
C017B,1,49.1,12.3
C017B,2,54.7,13.4
C017B,3,56.3,14.5
C017B,4,56.9,16.1
C017B,5,54.4,16.4
C017B,6,54,16
C017B,7,52.5,16.1
C017B,8,52.1,16.7
C017B,9,48.3,16.3
C017B,10,48,18.7
C017B,11,47.5,20.4
C017B,12,48.8,18.8
C025D,1,31.7,12.6
C025D,2,39,14
C025D,3,47.2,16.5
C025D,4,44.9,18.9
C025D,5,44,19.4
C025D,6,44.7,19.6
C025D,7,40,18.7
C025D,8,40.4,18.2
C025D,9,39,18
C025D,10,37.7,19.6
C025D,11,38.4,20
C025D,12,35.1,14
C025D,13,31.2,11.3
C016G,1,39.2,10.6
C016G,2,46.7,14.6
C016G,3,53,14.6
C016G,4,51.8,16.8
C016G,5,52.8,17.9
C016G,6,52.3,20.2
C016G,7,48.9,18.8
C016G,8,47,19.2
C016G,9,45.2,19.9
C016G,10,44.5,18.5
C016G,11,41.6,17.7
C016G,12,40,18
C016G,13,37.6,17.8
C016G,14,35.9,14.8
C016G,15,31,8.7
