specimen,hook,length,base
C027B,1,41.5,11.3
C027B,2,45.5,12.7
C027B,3,50.5,14.4
C027B,4,48.2,15.9
C027B,5,47,17.1
C027B,6,44.6,16.4
C027B,7,46.2,17.2
C027B,8,44.4,17.5
C027B,9,41.3,17.8
C027B,10,42,18.2
C027B,11,40.6,17.1
C027B,12,37.6,14.7
C027B,13,29.6,7.3
C027D,1,37.5,10.3
C027D,2,43.5,13.1
C027D,3,44.1,15.6
C027D,4,45.1,15.1
C027D,5,44.5,17.3
C027D,6,45.2,17.4
C027D,7,45.6,16.8
C027D,8,45.4,14.8
C027D,9,45.7,17.5
C027D,10,40.5,15.2
C027D,11,42.4,14.7
C027D,12,38.6,10.6
C027D,13,30.5,7
C025F,1,49,13.3
C025F,2,49.3,13.2
C025F,3,52,14.9
C025F,4,54,18.6
C025F,5,50.2,17.8
C025F,6,49.9,18.6
C025F,7,49.3,18.3
C025F,8,45.6,18.5
C025F,9,44.2,17.4
C025F,10,41.7,17.4
C025F,11,39.1,15.9
C025F,12,41.1,13.2
C025F,13,29.2,8.4
C017A,1,37.2,8.5
C017A,2,43.9,13.9
C017A,3,46.5,15.3
C017A,4,47,17.3
C017A,5,46.3,16.9
C017A,6,43.9,16.1
C017A,7,42.4,16.4
C017A,8,40.7,16.4
C017A,9,37.4,14.4
C017A,10,37.9,14.7
C017A,11,37.4,13.3
C017A,12,28,6
C017A,13,19.9,5.1
