specimen,hook,length,base
B_gadi1b,1,53.6,11
B_gadi1b,2,70,16.5
B_gadi1b,3,69,16.6
B_gadi1b,4,64.5,17.5
B_gadi1b,5,64.1,17.8
B_gadi1b,6,60,16.5
B_gadi1b,7,56,16.6
B_gadi1b,8,56.7,16.8
B_gadi1b,9,56.6,20.4
B_gadi1b,10,56.6,20.9
B_gadi1b,11,51.1,14.6
B_gadi1b,12,46.2,14
B_gadi1b,13,51.1,13.9
B_gadi1d,1,52.3,13.1
B_gadi1d,2,66.2,18.3
B_gadi1d,3,65.2,20.1
B_gadi1d,4,61.3,20.6
B_gadi1d,5,59.9,19.5
B_gadi1d,6,61.4,22.2
B_gadi1d,7,57.6,22.8
B_gadi1d,8,53.2,20.8
B_gadi1d,9,50.9,20.8
B_gadi1d,10,50.4,22.3
B_gadi1d,11,48.6,23
B_gadi1d,12,47.8,17.1
B_gadi1d,13,41.9,13.1
B_gadi1d,14,35.9,11.3
B_gadi1e,1,67.9,17.8
B_gadi1e,2,71.1,19.7
B_gadi1e,3,68.5,23.6
B_gadi1e,4,64.6,20.6
B_gadi1e,5,61.6,19.6
B_gadi1e,6,56.8,19.5
B_gadi1e,7,53.2,20.6
B_gadi1e,8,52.9,21.2
B_gadi1e,9,51.5,22.2
B_gadi1e,10,50,19.1
B_gadi1e,11,53.1,20
B_gadi1e,12,48.1,14.1
B_gadi1e,13,45,12
B_gadi1i,1,64.4,14.4
B_gadi1i,2,68,19.4
B_gadi1i,3,66.7,19.7
B_gadi1i,4,69.6,22.7
B_gadi1i,5,65,21.9
B_gadi1i,6,60.6,19.1
B_gadi1i,7,57.3,21.2
B_gadi1i,8,53.8,21.8
B_gadi1i,9,55.3,23.6
B_gadi1i,10,52,23.4
B_gadi1i,11,49.6,18.3
B_gadi1i,12,48.4,12.6
B_gadi1i,13,39.6,8.2
B_gadi1J,1,61.6,14.8
B_gadi1J,2,70.4,21
B_gadi1J,3,74.2,21.1
B_gadi1J,4,71.7,22.6
B_gadi1J,5,67.5,19.3
B_gadi1J,6,70.7,23.4
B_gadi1J,7,61.9,21.4
B_gadi1J,8,58.2,21.6
B_gadi1J,9,55,21.4
B_gadi1J,10,54.1,22.6
B_gadi1J,11,53.3,24.2
B_gadi1J,12,55.2,17.8
B_gadi1J,13,50.9,13.8
B_gadi1J,14,45,10.3
