specimen,hook,length,base
b2.02,1,45.39,10.99
b2.02,2,58.22,18.14
b2.02,3,59.2,17.76
b2.02,4,60.62,18.22
b2.02,5,56.77,17.01
b2.02,6,57.98,18.13
b2.02,7,60.4,21.32
b2.02,8,60.22,22.46
b2.02,9,54.82,17.52
b2.02,10,48.22,14.84
b2.02,11,37.66,11.33
b1.01,1,57.72,13.51
b1.01,2,61.53,18.51
b1.01,3,63.01,21.35
b1.01,4,61.69,19.08
b1.01,5,59.42,20.27
b1.01,6,58.35,22.09
b1.01,7,58.56,22.48
b1.01,8,53.95,21.06
b1.01,9,54.97,19.54
b1.01,10,53.31,18.92
b1.01,11,51.39,17.58
b1.01,12,40.04,10.97
b4.13,1,65.95,15.43
b4.13,2,58.22,15.2
b4.13,3,61.4,16.16
b4.13,4,61.48,19.53
b4.13,5,57.8,17.84
b4.13,6,58.79,20.18
b4.13,7,53.42,19.11
b4.13,8,54.64,17.77
b4.13,9,55.34,17.8
b4.13,10,50.84,18.19
b4.13,11,36.94,12.28
b4.13,12,30.22,9.38
b4.01,1,48.35,10.2
b4.01,2,52.46,11.29
b4.01,3,55.35,15.18
b4.01,4,57.23,16.93
b4.01,5,55.81,16.93
b4.01,6,55.35,17.45
b4.01,7,55.54,18.25
b4.01,8,47.9,16.61
b4.01,9,48.99,18.69
b4.01,10,36.63,12.7
b4.01,11,32.32,9.65
b4.08,1,53.38,11.04
b4.08,2,59.19,16.99
b4.08,3,61.54,18.51
b4.08,4,48.73,17
b4.08,5,60.53,20.18
b4.08,6,58.22,18.93
b4.08,7,57.68,20.71
b4.08,8,54.47,19.46
b4.08,9,54.41,19.53
b4.08,10,46.58,14.73
b4.08,11,42.43,11.13
