specimen,hook,length,base
b2.08,1,47.64,13.76
b2.08,2,54,13.73
b2.08,3,55.39,12.75
b2.08,4,58.76,14.73
b2.08,5,59.69,17.91
b2.08,6,60.62,16.51
b2.08,7,59.23,18.47
b2.08,8,58.07,17.48
b2.08,9,56.34,17.44
b2.08,10,49.82,13.74
b2.08,11,38.41,12
b2.08,12,24.69,7.91
b2.10,1,50.06,10.63
b2.10,2,55.96,12.94
b2.10,3,55.9,15.35
b2.10,4,59.2,16.36
b2.10,5,56.37,16.86
b2.10,6,55.15,16.03
b2.10,7,55.02,18.3
b2.10,8,53.11,16.24
b2.10,9,49.5,14.67
b2.10,10,40,11.55
b2.10,11,31.2,6.58
b2.13,1,50.98,13.16
b2.13,2,56.01,15.05
b2.13,3,59.41,17.44
b2.13,4,58.29,18.15
b2.13,5,57.02,16.36
b2.13,6,55.83,19.53
b2.13,7,54.82,17.91
b2.13,8,54.12,18.65
b2.13,9,50.55,17.52
b2.13,10,44.96,12.56
b2.13,11,35.99,10.64
b2.14,1,43.45,10.27
b2.14,2,46.62,10.47
b2.14,3,47.13,12.24
b2.14,4,48.95,13.43
b2.14,5,50.01,15.17
b2.14,6,48.85,15.9
b2.14,7,48.88,16.06
b2.14,8,47.69,14.26
b2.14,9,47.11,15.9
b2.14,10,45.98,14.28
b2.14,11,43.28,10.73
b2.16,1,45.43,9.46
b2.16,2,51.43,12.72
b2.16,3,54.62,14.58
b2.16,4,54.72,14.54
b2.16,5,55.75,14.53
b2.16,6,54.6,15.79
b2.16,7,54.69,17.44
b2.16,8,54.15,17.45
b2.16,9,50,15.7
b2.16,10,42.59,12.39
b2.16,11,35.86,8.76
b2.16,12,31.99,5.81
