specimen,hook,length,base
_24.001,1,51,10.5
_24.001,2,64.5,15
_24.001,3,72,18
_24.001,4,75,20
_24.001,5,71,22.5
_24.001,6,61.5,16.5
_24.001,7,34.5,10.5
_24.008,1,51,9
_24.008,2,62,13.5
_24.008,3,69,16.5
_24.008,4,70.5,18.75
_24.008,5,70,22.5
_24.008,6,51,13
_24.010,1,46.5,10.5
_24.010,2,62,16
_24.010,3,63,18
_24.010,4,63.75,22.5
_24.010,5,55.5,18
_24.010,6,44,12
_24.013,1,48,10.5
_24.013,2,63,15
_24.013,3,69,18
_24.013,4,70.5,21
_24.013,5,58.5,16.5
_24.013,6,39,9
_24.018,1,52,12
_24.018,2,64.5,16.5
_24.018,3,68,20
_24.018,4,65,19.5
_24.018,5,49.5,14
_24.018,6,36,11
_24.019,1,62,16.5
_24.019,2,66,18
_24.019,3,69,19
_24.019,4,69,21
_24.019,5,49.5,15
_24.019,6,38,8
_24.021,1,43.5,10.5
_24.021,2,58.5,15
_24.021,3,60,19.5
_24.021,4,58.5,19.5
_24.021,5,46.5,16
_24.021,6,37,10.5
