specimen,hook,length,base
l1.01,1,65.54,13.45
l1.01,2,81.46,17.42
l1.01,3,81.3,17.3
l1.01,4,82.1,18.3
l1.01,5,82.53,20.41
l1.01,6,80.78,23.42
l1.01,7,79.09,22.6
l1.01,8,72.33,23.34
l1.01,9,72.75,24.69
l1.01,10,69.22,24.66
l1.01,11,61.07,17.49
l1.01,12,49.49,12.07
l1.01,13,48.29,10.54
l1.02,1,62.19,11.97
l1.02,2,68.37,15
l1.02,3,66.2,15.42
l1.02,4,66.61,16.44
l1.02,5,69.13,17.76
l1.02,6,66.98,20.29
l1.02,7,67.19,18.22
l1.02,8,66.61,20.21
l1.02,9,66.36,20.58
l1.02,10,64.99,19.15
l1.02,11,63.48,20.52
l1.02,12,59.65,21.35
l1.02,13,50.15,14.78
l1.02,14,32.84,10.3
l1.03,1,67.05,14.8
l1.03,2,71.15,16.58
l1.03,3,70.13,17.34
l1.03,4,71.32,19.34
l1.03,5,69.33,21.84
l1.03,6,67.39,21.43
l1.03,7,64.38,18.64
l1.03,8,60.88,21.01
l1.03,9,61.59,18.93
l1.03,10,57.73,18.27
l1.03,11,50.98,12.52
l1.03,12,44.52,9.88
