specimen,hook,length,base
l2.01,1,65.16,15.59
l2.01,2,63.32,16.33
l2.01,3,63,16.48
l2.01,4,62.41,18.07
l2.01,5,62.56,18.78
l2.01,6,62.2,21.04
l2.01,7,60.68,20.35
l2.01,8,57.79,19.3
l2.01,9,58.53,19.19
l2.01,10,58.42,19.19
l2.01,11,56.67,17.49
l2.01,12,45,10.54
l2.01,13,36.97,9.3
l2.02,1,53.84,11.58
l2.02,2,64.55,14.26
l2.02,3,69.07,19.03
l2.02,4,67.92,20.1
l2.02,5,65.85,20.4
l2.02,6,62.15,21.51
l2.02,7,59.96,19.26
l2.02,8,59.11,21.32
l2.02,9,57.63,21.14
l2.02,10,54.44,20.44
l2.02,11,54.55,19.38
l2.02,12,47.1,10.22
l2.02,13,41.45,12.34
l2.03,1,63.72,13.19
l2.03,2,64.69,13.22
l2.03,3,68.62,16.58
l2.03,4,65.95,17.7
l2.03,5,67.36,20.59
l2.03,6,65.17,21.43
l2.03,7,62.23,19.88
l2.03,8,60.83,20.73
l2.03,9,59.36,20.3
l2.03,10,58.35,20.08
l2.03,11,51.16,13.64
l2.03,12,34.61,9.79
l2.04,1,59.51,14.67
l2.04,2,59.61,13.76
l2.04,3,61.4,19.52
l2.04,4,63.33,18.05
l2.04,5,61.97,20.21
l2.04,6,60.75,21.35
l2.04,7,58.98,20.97
l2.04,8,59.26,21.08
l2.04,9,55.4,19.96
l2.04,10,52.95,21.92
l2.04,11,54.61,22.01
l2.04,12,43,12.28
l2.04,13,38.23,12.33
l2.05,1,67.63,12.24
l2.05,2,73.12,18.25
l2.05,3,69.83,20.34
l2.05,4,71.72,22
l2.05,5,67.25,20.34
l2.05,6,61.57,20.21
l2.05,7,61.47,19.4
l2.05,8,58.84,17.32
l2.05,9,56.22,19.4
l2.05,10,56.33,20.49
l2.05,11,49.64,15.88
l2.05,12,36.89,10.54
l3.01,1,41.62,13.84
l3.01,2,57.26,14.48
l3.01,3,58.59,13.83
l3.01,4,59.2,18.3
l3.01,5,60.57,17.09
l3.01,6,61.01,18.1
l3.01,7,59.99,19.73
l3.01,8,58.65,18.22
l3.01,9,56.19,19.17
l3.01,10,58.19,21.43
l3.01,11,57.46,18.33
l3.01,12,38.45,10.3
l3.01,13,43.11,10.15
l3.02,1,58.25,12.92
l3.02,2,61.52,15.72
l3.02,3,63.67,17.83
l3.02,4,61.79,19.57
l3.02,5,65.94,20.99
l3.02,6,63.46,22.52
l3.02,7,62.68,22.28
l3.02,8,61.47,23.15
l3.02,9,60.68,22.6
l3.02,10,59.57,18.13
l3.02,11,49.72,13.7
l3.02,12,47.32,10.94
l3.02,13,38.23,10.67
l3.05,1,51.64,12.8
l3.05,2,58.16,16.58
l3.05,3,62.2,18.69
l3.05,4,64.12,20.07
l3.05,5,64.12,20.7
l3.05,6,63.03,22.46
l3.05,7,62.6,22.09
l3.05,8,60.95,22.19
l3.05,9,57.16,20.55
l3.05,10,57.82,19.89
l3.05,11,47.96,13.29
l3.05,12,43.87,11.04
l3.05,13,37.94,7.29
l3.06,1,41.84,9.6
l3.06,2,59.73,15.27
l3.06,3,63.34,19.03
l3.06,4,64.86,19.91
l3.06,5,65.53,20.79
l3.06,6,62.2,20.18
l3.06,7,62.61,22.9
l3.06,8,61.27,21.76
l3.06,9,62.2,22.48
l3.06,10,58.39,21.01
l3.06,11,54,19.59
l3.06,12,35.22,10.63
l3.06,13,38.82,9.74
l3.07,1,41.6,9.92
l3.07,2,56.41,11.86
l3.07,3,57.39,14
l3.07,4,63.04,15.18
l3.07,5,63.26,17.25
l3.07,6,64.46,20.03
l3.07,7,62.47,21.17
l3.07,8,61.56,22.06
l3.07,9,60.61,20.26
l3.07,10,59.29,23.32
l3.07,11,53.86,17.37
l3.07,12,48.6,14.06
l3.07,13,37.49,8.63
