specimen,hook,length,base
d17.15,1,78.6,14.62
d17.15,2,95.74,20.71
d17.15,3,99.6,24.1
d17.15,4,99.26,25.49
d17.15,5,94.51,24.84
d17.15,6,83.74,23.93
d17.15,7,81.44,22.09
d17.15,8,56.73,16.81
d17.15,9,40.93,9.24
d17.15,10,34.29,7.99
d17.17,1,104.97,20.91
d17.17,2,106.59,25.5
d17.17,3,111.23,26.83
d17.17,4,106.21,26.76
d17.17,5,108.09,27.19
d17.17,6,99.48,27.74
d17.17,7,89.33,26.01
d17.17,8,60.69,12.72
d17.17,9,49.05,10.58
d17.17,10,51.64,10.27
d17.18,1,57.82,12.67
d17.18,2,87.45,20.7
d17.18,3,95.7,24.44
d17.18,4,91.35,28.54
d17.18,5,93.33,27.93
d17.18,6,88.02,26.64
d17.18,7,76.18,27.37
d17.18,8,41.47,11.97
d17.18,9,39.56,9.69
d17.18,10,43.57,10.32
d17.20,1,105.39,22.6
d17.20,2,115.98,29.07
d17.20,3,113.52,30.46
d17.20,4,104.63,30.71
d17.20,5,96.06,29.87
d17.20,6,88.02,30.05
d17.20,7,71.14,15.82
d17.20,8,52.91,10.88
d17.20,9,48.28,9.64
d17.20,10,45.15,11.29
d17.25,1,96.6,20.17
d17.25,2,109.22,27.28
d17.25,3,110.01,28.62
d17.25,4,105.61,29.01
d17.25,5,101.11,33.11
d17.25,6,94.24,31.01
d17.25,7,84.64,29.79
d17.25,8,67.5,17.01
d17.25,9,53.36,12.53
d17.25,10,46.51,11.58
d17.28,1,92.48,14.97
d17.28,2,115.89,20.08
d17.28,3,121.15,23.97
d17.28,4,117.14,25.43
d17.28,5,112.61,28.73
d17.28,6,106.19,29.76
d17.28,7,98.52,32.19
d17.28,8,69.26,20.86
d17.28,9,50.64,11.66
d17.28,10,53.57,12.75
d17.30,1,118.43,26.29
d17.30,2,121.38,30.71
d17.30,3,117.2,30.46
d17.30,4,111.7,32.5
d17.30,5,102.74,33.23
d17.30,6,78.11,23.99
d17.30,7,55.69,12.31
d17.30,8,56.78,14.06
d17.30,9,53.7,11.65
d17.33,1,100.6,18.81
d17.33,2,113.02,31.55
d17.33,3,115.49,33.32
d17.33,4,110.48,33.3
d17.33,5,105.06,31.59
d17.33,6,100.47,33.37
d17.33,7,72.11,23.45
d17.33,8,47.7,14.17
d17.33,9,39.39,9.62
d17.39,1,100.62,20.48
d17.39,2,112.35,23.44
d17.39,3,115.98,27.79
d17.39,4,113.03,29
d17.39,5,108.37,31.22
d17.39,6,99.64,32.19
d17.39,7,93.42,32.19
d17.39,8,68.46,17.58
d17.39,9,54.23,11.58
d17.39,10,54.1,12.94
d17.40,1,92.28,17.63
d17.40,2,106,21.87
d17.40,3,109.95,26.83
d17.40,4,102.53,25.02
d17.40,5,99.21,28.09
d17.40,6,94.2,28.58
d17.40,7,84.69,25.12
d17.40,8,50.77,13.16
d17.40,9,39.54,10.63
d17.41,1,77.06,12.46
d17.41,2,110.56,22.35
d17.41,3,118.21,27.32
d17.41,4,114.87,29.5
d17.41,5,104.48,28.86
d17.41,6,98.43,29.96
d17.41,7,85.52,27.78
d17.41,8,54.96,13.74
d17.41,9,46.76,11.04
d17.41,10,43.95,10.67
d17.42,1,109.98,21.62
d17.42,2,119.31,27.14
d17.42,3,116.84,29.47
d17.42,4,107.94,27.08
d17.42,5,106.8,29.45
d17.42,6,96.96,30.44
d17.42,7,90.71,29.41
d17.42,8,59.39,14
d17.42,9,50.6,13.05
d17.42,10,47.14,10.6
d17.45,1,94.2,17.84
d17.45,2,116.91,23.39
d17.45,3,122.56,29.72
d17.45,4,120.88,31.94
d17.45,5,110.49,31.24
d17.45,6,107.11,34.66
d17.45,7,78.06,22.19
d17.45,8,56.51,15.74
d17.45,9,60.62,15.91
d17.45,10,51.93,14.9
d17.47,1,92.67,16.12
d17.47,2,112.15,25.51
d17.47,3,113.07,27.22
d17.47,4,110.77,31.74
d17.47,5,104.69,33.13
d17.47,6,89.28,30.65
d17.47,7,56.45,15.1
d17.47,8,48.28,10.73
d17.47,9,42.4,12.36
d5.02,1,64.9,13.07
d5.02,2,111.4,20.93
d5.02,3,124.78,29.42
d5.02,4,126.73,29.16
d5.02,5,119.37,29.84
d5.02,6,111.59,32.47
d5.02,7,105.29,33.86
d5.02,8,84.54,26.81
d5.02,9,57.33,14.46
d5.02,10,42.4,9.08
