specimen,hook,length,base
v17.15,1,82.07,16.15
v17.15,2,102.34,21.14
v17.15,3,110.03,25.63
v17.15,4,107.24,25.47
v17.15,5,100.96,25.72
v17.15,6,98,25.14
v17.15,7,94.16,24.67
v17.15,8,90.56,24.34
v17.15,9,64.73,15.88
v17.15,10,47.57,9.15
v17.17,1,97.66,21.33
v17.17,2,106.43,23.79
v17.17,3,107.99,26.13
v17.17,4,112.99,27.45
v17.17,5,107.93,27.82
v17.17,6,103.27,27.82
v17.17,7,98.24,27.84
v17.17,8,95.92,29.99
v17.17,9,80.81,17.51
v17.17,10,71.08,16.03
v17.18,1,53.88,12.86
v17.18,2,92.56,24.94
v17.18,3,99.94,28.04
v17.18,4,98.56,27.34
v17.18,5,97.33,29.55
v17.18,6,90.88,28.27
v17.18,7,75.63,29.47
v17.18,8,64.33,19.97
v17.18,9,43.02,11.58
v17.20,1,101.08,20.6
v17.20,2,113.91,28.5
v17.20,3,114.11,29.85
v17.20,4,107.58,31.21
v17.20,5,105.42,32.74
v17.20,6,100.16,31.95
v17.20,7,97.54,36.6
v17.20,8,77.16,20.13
v17.20,9,57.62,14.18
v17.20,10,51.94,12.22
v17.25,1,92.83,18.42
v17.25,2,114.18,29.04
v17.25,3,111.98,32.42
v17.25,4,110.52,31.59
v17.25,5,103.62,30.77
v17.25,6,98.44,31.39
v17.25,7,94.69,30.48
v17.25,8,89.91,29.95
v17.25,9,76.04,19.25
v17.25,10,60.96,15.33
v17.28,1,100.51,12.74
v17.28,2,121.11,21.23
v17.28,3,123.7,25.5
v17.28,4,118.37,28.3
v17.28,5,110.4,30.19
v17.28,6,102.65,29.33
v17.28,7,101.43,29.33
v17.28,8,99.19,29.9
v17.28,9,71.17,15.13
v17.28,10,59.52,14.06
v17.30,1,103.98,19.92
v17.30,2,122.95,27.91
v17.30,3,122.52,33.39
v17.30,4,115.97,33.19
v17.30,5,108.67,33.59
v17.30,6,102.34,33.22
v17.30,7,93.89,30.06
v17.30,8,60.04,14.38
v17.30,9,61.63,14.81
v17.37,1,96.92,16.93
v17.37,2,111.73,22.42
v17.37,3,116.91,28.15
v17.37,4,111.47,29.57
v17.37,5,103.72,28.55
v17.37,6,97.23,28.55
v17.37,7,95,27.93
v17.37,8,94.36,28.57
v17.37,9,71.05,18.47
v17.37,10,62.75,15.51
v17.39,1,116.73,25.08
v17.39,2,122.67,32.14
v17.39,3,121.19,33.15
v17.39,4,114.68,34.2
v17.39,5,108.37,33.98
v17.39,6,101.26,33.86
v17.39,7,99.47,33.8
v17.39,8,91.33,30.86
v17.39,9,72.42,18.27
v17.39,10,65.8,13.95
v17.40,1,81.04,11.04
v17.40,2,103.3,20.47
v17.40,3,110.91,25.01
v17.40,4,109.35,27.06
v17.40,5,104.35,27.49
v17.40,6,101.67,28.78
v17.40,7,96.84,29.46
v17.40,8,89.02,27.96
v17.40,9,67.06,15.64
v17.40,10,59.92,14.38
v17.41,1,100.11,17.58
v17.41,2,114.44,22.68
v17.41,3,116.91,26.43
v17.41,4,115.24,29.32
v17.41,5,106.12,29.61
v17.41,6,98.91,29.41
v17.41,7,96,29.05
v17.41,8,91.77,25.84
v17.41,9,49.32,14
v17.41,10,49.24,11.43
v17.42,1,99.64,18.2
v17.42,2,121.81,26.73
v17.42,3,124.36,30.85
v17.42,4,121.89,32.39
v17.42,5,112.71,32.2
v17.42,6,107.67,34.72
v17.42,7,97.74,32.24
v17.42,8,91.45,27.14
v17.42,9,68.22,17.91
v17.42,10,58.2,17.42
v17.45,1,106.36,20.68
v17.45,2,125.81,32.51
v17.45,3,126.9,37.23
v17.45,4,122.45,36.92
v17.45,5,111.31,33.3
v17.45,6,108.01,28.54
v17.45,7,92.41,25.63
v17.45,8,69.32,20.27
v17.45,9,62.63,15.82
v17.47,1,109.25,19.06
v17.47,2,121.53,26.54
v17.47,3,117.83,30.36
v17.47,4,115.05,30.52
v17.47,5,109.29,31.99
v17.47,6,102.82,33.14
v17.47,7,80.33,21.23
v17.47,8,62.97,14.78
v17.47,9,52.22,15.98
v5.02,1,116.71,23.17
v5.02,2,122.45,25.87
v5.02,3,124.34,28.34
v5.02,4,122,30.93
v5.02,5,111.92,32.85
v5.02,6,104.75,33.54
v5.02,7,104.05,33.54
v5.02,8,104.7,33.63
v5.02,9,72.98,20.86
v5.02,10,58,16.9
v5.02,11,55.42,14.85
v5.10,1,91.36,17.8
v5.10,2,112.25,29.18
v5.10,3,112.91,30.86
v5.10,4,117.24,34.6
v5.10,5,113.37,34.2
v5.10,6,108.72,35.96
v5.10,7,103.41,36.16
v5.10,8,89.91,28.58
v5.10,9,72.59,19.33
v5.10,10,69.14,17.54
v5.12,1,100.19,18.82
v5.12,2,119.88,27.12
v5.12,3,118.65,27.87
v5.12,4,116.3,30
v5.12,5,112.15,34.25
v5.12,6,106.93,32.98
v5.12,7,100.3,30.07
v5.12,8,70.23,18.51
v5.12,9,62.44,15.12
v5.19,1,107.63,23.84
v5.19,2,116.6,31
v5.19,3,113.45,30.99
v5.19,4,112.06,34.25
v5.19,5,106.07,32.02
v5.19,6,102.39,31.39
v5.19,7,99.64,32.19
v5.19,8,76.88,22.11
v5.19,9,60.39,14.39
v5.19,10,59.65,14.79
v5.20,1,107.88,19.69
v5.20,2,123.89,25.65
v5.20,3,124.38,31.06
v5.20,4,124.05,32.78
v5.20,5,115.2,33.4
v5.20,6,111.31,35.68
v5.20,7,108.08,34.98
v5.20,8,91.82,28.45
v5.20,9,71.91,16.74
v5.20,10,66.6,11.79
v5.33,1,100.14,19.3
v5.33,2,113.99,28.99
v5.33,3,115.11,33.64
