specimen,hook,length,base
d17-007,1,77.7,16.3
d17-007,2,86.9,22.9
d17-007,3,87.6,25
d17-007,4,84.7,25.4
d17-007,5,78,24.4
d17-007,6,69.8,21.8
d17-007,7,40.5,10.4
d17-007,8,34.2,7.6
d17-007,9,34.8,8.6
d17-008,1,69,13.4
d17-008,2,80.3,20.2
d17-008,3,82,23.3
d17-008,4,80.6,21.1
d17-008,5,75.7,21.6
d17-008,6,71.9,24.6
d17-008,7,50.1,16.1
d17-008,8,37.1,12.7
d17-008,9,35,11
d17-009,1,53.7,14.9
d17-009,2,70.1,16.1
d17-009,3,69.6,19
d17-009,4,69.4,20.4
d17-009,5,66.4,21.7
d17-009,6,65.2,19.7
d17-009,7,57.1,19.3
d17-009,8,34,10.3
d17-009,9,26.4,10.5
d17-011,1,74.4,13.6
d17-011,2,91.3,21.2
d17-011,3,91,21.6
d17-011,4,85.5,21.7
d17-011,5,82.8,22.5
d17-011,6,76.9,23.1
d17-011,7,76.3,24.4
d17-011,8,68.8,23.2
d17-011,9,44.1,9.8
d17-011,10,35.4,9.1
d17-003,1,74.2,16.5
d17-003,2,87.5,22
d17-003,3,87.5,23.7
d17-003,4,85.2,23.6
d17-003,5,84.1,25.1
d17-003,6,80.2,26.7
d17-003,7,77.7,27.7
d17-003,8,59.7,19.1
d17-003,9,39,9.8
d17-003,10,31.6,6
d17-004,1,69.4,15.1
d17-004,2,76.3,17.9
d17-004,3,82.5,23.9
d17-004,4,80.1,23.7
d17-004,5,81.4,24.6
d17-004,6,80.2,26.5
d17-004,7,75.1,25.3
d17-004,8,58.2,19.9
d17-004,9,46.3,12.8
d17-004,10,42.1,11.5
