specimen,hook,length,base
t2.13,1,67.47,15.7
t2.13,2,63.27,13.98
t2.13,3,68.84,15.16
t2.13,4,70.52,14.13
t2.13,5,62.83,12.29
t2.13,6,70.84,16.63
t2.13,7,67.28,15.18
t2.13,8,67.3,17.01
t2.13,9,67.78,19.77
t2.13,10,65.49,16.92
t2.13,11,66.05,16.39
t2.13,12,65.73,18.16
t2.13,13,61.05,18.61
t2.13,14,55.3,14.26
t2.13,15,45.94,12.02
t2.12,1,59.09,10.09
t2.12,2,65.59,14.81
t2.12,3,69.32,15.1
t2.12,4,74.09,18.42
t2.12,5,72.69,19.38
t2.12,6,73.11,20.1
t2.12,7,68.43,18.71
t2.12,8,68.29,18.68
t2.12,9,67.09,17.63
t2.12,10,68.18,19.73
t2.12,11,61.63,16.39
t2.12,12,59.03,12.85
t2.11,1,54.81,10.75
t2.11,2,63.01,13.38
t2.11,3,66.6,15.42
t2.11,4,63.4,13.45
t2.11,5,67.37,18.69
t2.11,6,68.8,19.77
t2.11,7,66.78,17.73
t2.11,8,69.66,20.44
t2.11,9,67.18,20.29
t2.11,10,67.96,21.56
t2.11,11,65.51,21.32
t2.11,12,58.06,15.49
t2.09,1,65.77,17.54
t2.09,2,69.69,17.34
t2.09,3,69.54,19.18
t2.09,4,70.73,17.88
t2.09,5,70.31,19.33
t2.09,6,70.32,19.41
t2.09,7,69.39,20.87
t2.09,8,68.75,20.18
t2.09,9,68.57,22.23
t2.09,10,67.16,19.83
t2.09,11,60.21,17.8
t2.09,12,57.42,14
t2.20m,1,54.92,12.81
t2.20m,2,62.62,12.37
t2.20m,3,63.26,14.46
t2.20m,4,65.03,15.21
t2.20m,5,59.94,17.57
t2.20m,6,65.2,16.42
t2.20m,7,66.61,18.78
t2.20m,8,65.15,16.99
t2.20m,9,63.85,18.91
t2.20m,10,65.33,17.49
t2.20m,11,63.35,17.52
t2.20m,12,62.35,19.19
t2.20m,13,48.01,14.06
t2.20m,14,42.86,11.08
t2.21,1,69.97,17.52
t2.21,2,73.47,18.86
t2.21,3,75.91,21.35
t2.21,4,76.89,21.2
t2.21,5,68.58,18.69
t2.21,6,67.3,19.53
t2.21,7,70.81,21.15
t2.21,8,65.91,17.01
t2.21,9,59.68,17.76
t2.21,10,55.05,13.38
t2.10,1,71.93,17.91
t2.10,2,70.78,17.12
t2.10,3,82.26,23.5
t2.10,4,80.95,23.54
t2.10,5,84.03,26.08
t2.10,6,81.98,25.45
t2.10,7,81.45,23.92
t2.10,8,78.5,21.31
t2.10,9,77.91,23.81
t2.10,10,75.03,25.45
t2.10,11,75.02,24.46
t2.10,12,69.61,21.2
t2.10,13,54.04,14.62
