specimen,hook,length,base
t1.01,1,70.56,15.12
t1.01,2,69.54,14.8
t1.01,3,72.82,17.3
t1.01,4,73.17,16.24
t1.01,5,73.32,16.36
t1.01,6,72.07,16.9
t1.01,7,71.52,18.69
t1.01,8,71.5,19.67
t1.01,9,71.97,18.08
t1.01,10,72.42,18.69
t1.01,11,73.66,19.08
t1.01,12,73.74,20.69
t1.01,13,75.41,21.9
t1.01,14,62.2,15.5
t1.01,15,53.81,11.04
t1.02,1,79.53,17.45
t1.02,2,76.96,17
t1.02,3,77.33,19.18
t1.02,4,73.74,18.51
t1.02,5,76.9,19.53
t1.02,6,76.18,20.25
t1.02,7,76.44,20.93
t1.02,8,77.07,20.7
t1.02,9,75.77,23.6
t1.02,10,74.47,23.32
t1.02,11,72.75,24.66
t1.02,12,69.2,24.78
t1.02,13,70.73,24.05
t1.02,14,62.88,18.22
t1.02,15,55.96,17.97
t1.03,1,76.11,18.33
t1.03,2,72.34,16.16
t1.03,3,69.9,17.27
t1.03,4,68.43,18.93
t1.03,5,70.61,19.67
t1.03,6,68.94,20.96
t1.03,7,68.92,20.82
t1.03,8,65.63,20.3
t1.03,9,66.45,21.84
t1.03,10,63.33,19.53
t1.03,11,67.69,23.02
t1.03,12,63.45,19.46
t1.03,13,54.8,13.84
t1.03,14,52.89,14.47
t1.04,1,68.43,14.48
t1.04,2,69.86,14.48
t1.04,3,77.43,15.74
t1.04,4,72.85,15.43
t1.04,5,75.36,19.41
t1.04,6,77.34,19.02
t1.04,7,76.49,20.29
t1.04,8,77.78,20.72
t1.04,9,77.06,22.87
t1.04,10,76.54,23.71
t1.04,11,77.28,23.97
t1.04,12,77.32,24.49
t1.04,13,74.94,24.23
t1.04,14,70.69,21.82
t1.04,15,63.52,15.39
t1.04,16,58.42,11.82
t1.06,1,75.11,20.08
t1.06,2,75.81,17.11
t1.06,3,76.61,20.15
t1.06,4,77.33,19.14
t1.06,5,79.07,18.69
t1.06,6,75.22,20.03
t1.06,7,76.96,20.85
t1.06,8,76.12,21.67
t1.06,9,74.15,22.3
t1.06,10,71.42,23
t1.06,11,70.55,25.2
t1.06,12,71.78,26.39
t1.06,13,68.05,19.16
t1.06,14,60.4,15.61
t1.08,1,72.21,18.51
t1.08,2,69.03,17.64
t1.08,3,72.88,19.51
t1.08,4,72.17,19.88
t1.08,5,71.95,21.8
t1.08,6,74.07,21.1
t1.08,7,73.57,22.54
t1.08,8,74,23.98
t1.08,9,73.24,23
t1.08,10,74.8,22.77
t1.08,11,74.8,22.54
t1.08,12,72.55,25.98
t1.08,13,72.57,24.76
t1.08,14,66.02,19.18
t1.08,15,61.91,12.53
t1.12,1,71.41,13.48
t1.12,2,80.25,18.15
t1.12,3,78.04,17.63
t1.12,4,76.36,19.03
t1.12,5,78.77,20.48
t1.12,6,77.59,18.97
t1.12,7,79.38,21.91
t1.12,8,75.79,24.23
t1.12,9,73.77,21.51
t1.12,10,73.7,22.52
t1.12,11,73.96,26.65
t1.12,12,72.29,23.72
t1.12,13,66.62,17.27
t1.12,14,59.65,12.75
t1.13,1,74.9,16.16
t1.13,2,76.51,18.16
t1.13,3,78.37,18.93
t1.13,4,80.54,20.18
t1.13,5,80.49,19.02
t1.13,6,79.86,22.76
t1.13,7,77.75,23.95
t1.13,8,76.62,19.73
t1.13,9,78.32,22.46
t1.13,10,75.58,21.87
t1.13,11,75.24,23.39
t1.13,12,73.18,24.63
t1.13,13,71.11,21.32
t1.13,14,67.11,17.01
t1.13,15,60.35,14.62
t1.14,1,76.13,16.91
t1.14,2,81.2,19.47
t1.14,3,80.51,18.51
t1.14,4,76.8,20.47
t1.14,5,81.35,20.55
t1.14,6,78.36,23.97
t1.14,7,81.23,24.73
t1.14,8,79.34,24.73
t1.14,9,79.98,25.44
t1.14,10,79.31,25.07
t1.14,11,75.48,24.31
t1.14,12,77.87,25.63
t1.14,13,65.56,21.11
t1.14,14,61.83,14.03
t1.16,1,64.82,14.8
t1.16,2,67.88,16.1
t1.16,3,71.46,16.07
t1.16,4,73.06,18.47
t1.16,5,69.69,17.91
t1.16,6,70.84,18.57
t1.16,7,66.78,17.12
t1.16,8,67.57,18.47
t1.16,9,66.66,20.21
t1.16,10,66.57,20.2
t1.16,11,65.77,23.26
t1.16,12,57.42,18.47
t1.16,13,56.23,16.3
t1.17,1,73.56,18.29
t1.17,2,78.08,20.42
t1.17,3,79.66,22
t1.17,4,77.93,20.64
t1.17,5,80.24,22.04
t1.17,6,78.77,25.39
t1.17,7,77.45,23.64
t1.17,8,78.11,23.84
t1.17,9,75.09,25.19
t1.17,10,74.01,24.91
t1.17,11,72.03,24.23
t1.17,12,68.6,22.34
t1.17,13,67.11,21.57
t1.17,14,54.05,14.17
t1.18,1,68.63,17.11
t1.18,2,73.44,15.98
t1.18,3,71.53,17.77
t1.18,4,71.14,19.53
t1.18,5,72.08,21.56
t1.18,6,73.06,21.57
t1.18,7,72.88,22.18
t1.18,8,73.02,22.06
t1.18,9,72.81,21.27
t1.18,10,73.15,24.28
t1.18,11,69.46,24.53
t1.18,12,66.52,23.68
t1.18,13,57.45,21.76
t1.18,14,61.7,17.84
t1.18,15,54.66,14.79
t1.19,1,54.69,13.9
t1.19,2,76.49,18.6
t1.19,3,77.8,19.87
t1.19,4,79.46,18.51
t1.19,5,78.64,20.52
t1.19,6,76.85,20.93
t1.19,7,78.85,21.35
t1.19,8,79.01,20.66
t1.19,9,75.59,21.28
t1.19,10,76.85,22.06
t1.19,11,73.89,22.49
t1.19,12,73.87,24.88
t1.19,13,72.63,24.41
t1.19,14,72.49,23.97
t1.19,15,67.43,19.47
t1.19,16,61.78,15.05
t1.19,17,54.2,12.05
t1.21,1,67.74,13.68
t1.21,2,68.49,14.42
t1.21,3,78.51,20.96
t1.21,4,79.14,18.14
t1.21,5,79.25,22.09
t1.21,6,77.62,19.85
t1.21,7,77.21,20.96
t1.21,8,74.49,20.96
t1.21,9,75.93,22.25
t1.21,10,77.14,23.39
t1.21,11,74.07,22.79
t1.21,12,77.12,24.67
t1.21,13,73.69,22.37
t1.21,14,65.77,14.62
t1.22,1,56.41,9.77
t1.22,2,64.7,12.39
t1.22,3,74.91,15.8
t1.22,4,76.71,18.39
t1.22,5,73.76,18.47
t1.22,6,75.26,20.01
t1.22,7,75.48,20.18
t1.22,8,77.04,22.61
t1.22,9,74.95,20.34
t1.22,10,74.71,22.37
t1.22,11,75.21,23.26
t1.22,12,72.32,22.16
t1.22,13,69.71,21.72
t1.22,14,68.08,21.56
t1.22,15,61.83,18.65
t1.22,16,52.01,10.96
t1.23,1,71.96,16.74
t1.23,2,77.32,20.14
t1.23,3,76.33,20.37
t1.23,4,75.35,19.25
t1.23,5,78.53,21.11
t1.23,6,78.28,21.11
t1.23,7,78.33,20.01
t1.23,8,77.82,21.46
t1.23,9,81.35,23.47
t1.23,10,77.75,23.47
t1.23,11,78.91,24.28
t1.23,12,78.3,24.66
t1.23,13,75.69,25.37
t1.23,14,70.54,21.78
t1.23,15,55.83,14.21
t1.24,1,56.82,17.68
t1.24,2,68.78,16.5
t1.24,3,72.32,17.12
t1.24,4,76.56,18.93
t1.24,5,75.4,19.73
t1.24,6,76.84,22.46
t1.24,7,74.2,21.2
t1.24,8,73.82,24.67
t1.24,9,73.06,24.02
t1.24,10,73.77,25.01
t1.24,11,69.61,23.47
t1.24,12,66.37,25.2
t1.24,13,70.17,24.59
t1.24,14,63.04,20.21
t1.24,15,57.5,14.29
t1.26,1,66.47,13.22
t1.26,2,69.01,16.69
t1.26,3,73.38,18.51
t1.26,4,72.79,19.56
t1.26,5,72.77,19.49
t1.26,6,71.79,19.14
t1.26,7,71.54,21.6
t1.26,8,71.96,22.92
t1.26,9,72.12,22.92
t1.26,10,62.8,25.33
t1.26,11,73.15,25.52
t1.26,12,67.59,26.01
t1.26,13,56.27,17.44
t1.30,1,77.69,18.28
t1.30,2,80.27,20.61
t1.30,3,80.56,23.63
t1.30,4,79.78,24.28
t1.30,5,80.4,24.31
t1.30,6,78.65,24.86
t1.30,7,76.35,26.13
t1.30,8,77.06,25.58
t1.30,9,74.71,26.43
t1.30,10,74.49,27.02
t1.30,11,71.49,27.18
t1.30,12,68.55,22.16
t1.30,13,59.82,17.25
t1.31,1,61.72,16.58
t1.31,2,66.48,15.35
t1.31,3,71.15,16.81
t1.31,4,71.12,17.13
t1.31,5,71.54,17.52
t1.31,6,71.91,17.21
t1.31,7,67.55,17.44
t1.31,8,72.32,17.78
t1.31,9,70.69,19.85
t1.31,10,68.15,19.08
t1.31,11,67.75,20.86
t1.31,12,68.61,22.37
t1.31,13,68.14,17.86
t1.31,14,58.49,15.6
t1.34,1,76.13,17.4
t1.34,2,78.91,18.28
t1.34,3,75.36,18.47
t1.34,4,77.4,19.83
t1.34,5,75.26,19.18
t1.34,6,76.31,19.19
t1.34,7,76.7,20.21
t1.34,8,75.4,21.6
t1.34,9,73.13,22.37
t1.34,10,73.06,23.47
t1.34,11,70.12,24.86
t1.34,12,70.23,25.72
t1.34,13,63.62,19.02
t1.34,14,60.64,15.82
t1.34,15,43.56,11.29
t1.35,1,77.27,19.2
t1.35,2,78.04,19.38
t1.35,3,79.12,18.93
t1.35,4,77.19,18.93
t1.35,5,76.64,18.94
t1.35,6,77.89,20.18
t1.35,7,77.89,21.33
t1.35,8,76.61,22.11
t1.35,9,77.08,22.34
t1.35,10,77.26,22.52
t1.35,11,75.26,22.95
t1.35,12,74.76,24.7
t1.35,13,66.95,18.54
t1.35,14,59.13,12.67
t1.39,1,60.92,11.68
t1.39,2,66.44,16.58
t1.39,3,73.33,16.92
t1.39,4,76.71,19.17
t1.39,5,75.83,18.92
t1.39,6,79.09,21.78
t1.39,7,74.9,20.93
t1.39,8,76.29,23.65
t1.39,9,74.56,22.65
t1.39,10,71.88,23.26
t1.39,11,71.88,25.5
t1.39,12,69.05,26.63
t1.39,13,67.59,21.82
t1.39,14,61.16,16.74
t1.41,1,64.19,14.09
t1.41,2,73.26,16.88
t1.41,3,75.57,17.05
t1.41,4,77.42,17.85
t1.41,5,75.62,18.16
t1.41,6,78.58,21.08
t1.41,7,76.26,21.58
t1.41,8,78.24,21.35
t1.41,9,76.63,21.44
t1.41,10,77.08,25.15
t1.41,11,72.45,22.57
t1.41,12,75.02,24.35
t1.41,13,68.61,23.97
t1.41,14,60.03,16.5
t1.41,15,54.6,15.51
t1.42,1,65.25,13.05
t1.42,2,69.42,15.08
t1.42,3,73.08,19.41
t1.42,4,76.33,19.19
t1.42,5,76.67,21.2
t1.42,6,76.74,22.95
t1.42,7,79.29,24.99
t1.42,8,75.42,21.6
t1.42,9,75.42,23.08
t1.42,10,75.03,23.78
t1.42,11,73.87,23.17
t1.42,12,74.64,23.32
t1.42,13,71.39,25.02
t1.42,14,69.46,23.21
t1.42,15,60.67,17.47
t1.47,1,68.76,16.74
t1.47,2,74.11,20.7
t1.47,3,73.33,19.41
t1.47,4,78.32,20.55
t1.47,5,72.92,21.08
t1.47,6,76.32,20.47
t1.47,7,74.53,20.7
t1.47,8,72.72,20.61
t1.47,9,72.77,22.09
t1.47,10,73.18,22.96
t1.47,11,69.87,22.84
t1.47,12,64.06,21.11
t1.47,13,56.59,14.06
t1.48,1,56.92,9.72
t1.48,2,59.33,13.72
t1.48,3,66.72,15.98
t1.48,4,62.24,16.81
t1.48,5,65.93,17.01
t1.48,6,69.75,17.21
t1.48,7,69.54,17.84
t1.48,8,69.17,17.72
t1.48,9,70.01,19.83
t1.48,10,71.09,21.35
t1.48,11,67.42,20.8
t1.48,12,67.3,20.7
t1.48,13,63.13,19.3
t1.48,14,50.44,14.77
t1.48,15,50.86,11.34
t1.50,1,78.72,19.08
t1.50,2,70.42,16.56
t1.50,3,80.03,20.9
t1.50,4,79.99,21.67
t1.50,5,77.06,22.16
t1.50,6,76.96,20.29
t1.50,7,73.86,22.16
t1.50,8,75.29,22.34
t1.50,9,70.79,24.49
t1.50,10,70.98,23.71
t1.50,11,70.61,24.7
t1.50,12,69.83,25.86
t1.50,13,67.11,17.01
t1.50,14,64.78,14.85
t1.51,1,70.46,16.41
t1.51,2,73.69,18.62
t1.51,3,76.77,19.23
t1.51,4,75.88,20.63
t1.51,5,73.49,19.28
t1.51,6,76.16,22.58
t1.51,7,76.75,23.43
t1.51,8,75.08,22.13
t1.51,9,76.26,25.15
t1.51,10,75.52,26.28
t1.51,11,73.96,24.84
t1.51,12,73.79,23.97
t1.51,13,69.87,24.05
t1.51,14,59.6,15.43
t1.53,1,66.54,14.77
t1.53,2,71.76,17.14
t1.53,3,76.45,18.16
t1.53,4,78.05,19.16
t1.53,5,75.86,19.85
t1.53,6,77.29,20.61
t1.53,7,76,20.61
t1.53,8,74.31,23.28
t1.53,9,73.48,23.11
t1.53,10,72.25,22.84
t1.53,11,70.75,24.84
t1.53,12,70.75,22.96
t1.53,13,59.17,17.88
t1.58,1,74.53,14.79
t1.58,2,75,18.11
t1.58,3,74.91,20.18
t1.58,4,74.69,19.73
t1.58,5,74.8,18.86
t1.58,6,74.41,18.57
t1.58,7,75.37,23.94
t1.58,8,73.22,23.97
t1.58,9,76.1,24.05
t1.58,10,73.74,26.33
t1.58,11,71.62,27.32
t1.58,12,71.54,26.39
t1.58,13,69.17,20.18
t1.58,14,63.38,17.3
t1.58,15,56.48,12.31
t1.59,1,69.82,18.16
t1.59,2,69.76,15.3
t1.59,3,74.09,19.87
